proper_date,deviceid,device_type,event,is_silent,room_name,siteid,tstamp
2021-06-27T12:00:56Z,49,motion,1,FALSE,Living room,193,1624791656
2021-06-27T12:01:20Z,49,motion,1,FALSE,Living room,193,1624791680
2021-06-27T12:01:27Z,49,motion,1,FALSE,Living room,193,1624791687
2021-06-27T12:01:31Z,49,motion,1,FALSE,Living room,193,1624791691
2021-06-27T12:01:38Z,49,motion,1,FALSE,Living room,193,1624791698
2021-06-27T12:01:43Z,49,motion,1,FALSE,Living room,193,1624791703
2021-06-27T12:06:36Z,49,motion,2,FALSE,Living room,193,1624791996
2021-06-27T12:07:22Z,49,motion,1,FALSE,Living room,193,1624792042
2021-06-27T12:07:27Z,49,motion,1,FALSE,Living room,193,1624792047
2021-06-27T12:07:35Z,49,motion,1,FALSE,Living room,193,1624792055
2021-06-27T12:07:47Z,49,motion,1,FALSE,Living room,193,1624792067
2021-06-27T12:08:50Z,51,motion,1,FALSE,Kitchen,193,1624792130
2021-06-27T12:08:53Z,51,motion,1,FALSE,Kitchen,193,1624792133
2021-06-27T12:10:30Z,51,motion,1,FALSE,Kitchen,193,1624792230
2021-06-27T12:11:32Z,49,motion,1,FALSE,Living room,193,1624792292
2021-06-27T12:11:36Z,49,motion,1,FALSE,Living room,193,1624792296
2021-06-27T12:11:40Z,49,motion,1,FALSE,Living room,193,1624792300
2021-06-27T12:11:53Z,49,motion,1,FALSE,Living room,193,1624792313
2021-06-27T12:12:26Z,49,motion,1,FALSE,Living room,193,1624792346
2021-06-27T12:12:33Z,49,motion,1,FALSE,Living room,193,1624792353
2021-06-27T12:12:54Z,47,motion,1,FALSE,Bathroom,193,1624792374
2021-06-27T12:12:58Z,47,motion,1,FALSE,Bathroom,193,1624792378
2021-06-27T12:13:22Z,47,motion,1,FALSE,Bathroom,193,1624792402
2021-06-27T12:13:28Z,47,motion,1,FALSE,Bathroom,193,1624792408
2021-06-27T12:13:58Z,47,motion,1,FALSE,Bathroom,193,1624792438
2021-06-27T12:14:05Z,47,motion,1,FALSE,Bathroom,193,1624792445
2021-06-27T12:14:11Z,47,motion,1,FALSE,Bathroom,193,1624792451
2021-06-27T12:14:16Z,47,motion,1,FALSE,Bathroom,193,1624792456
2021-06-27T12:14:21Z,47,motion,1,FALSE,Bathroom,193,1624792461
2021-06-27T12:14:28Z,47,motion,1,FALSE,Bathroom,193,1624792468
2021-06-27T12:14:33Z,47,motion,1,FALSE,Bathroom,193,1624792473
2021-06-27T12:14:39Z,47,motion,1,FALSE,Bathroom,193,1624792479
2021-06-27T12:14:45Z,47,motion,1,FALSE,Bathroom,193,1624792485
2021-06-27T12:14:50Z,47,motion,1,FALSE,Bathroom,193,1624792490
2021-06-27T12:14:55Z,47,motion,1,FALSE,Bathroom,193,1624792495
2021-06-27T12:15:16Z,51,motion,2,FALSE,Kitchen,193,1624792516
2021-06-27T12:16:37Z,51,motion,1,FALSE,Kitchen,193,1624792597
2021-06-27T12:17:23Z,48,motion,2,FALSE,Hallway,193,1624792643
2021-06-27T12:17:38Z,49,motion,2,FALSE,Living room,193,1624792658
2021-06-27T12:17:59Z,51,motion,1,FALSE,Kitchen,193,1624792679
2021-06-27T12:20:15Z,51,motion,1,FALSE,Kitchen,193,1624792815
2021-06-27T12:20:58Z,51,motion,1,FALSE,Kitchen,193,1624792858
2021-06-27T12:23:05Z,51,motion,1,FALSE,Kitchen,193,1624792985
2021-06-27T12:23:51Z,51,motion,1,FALSE,Kitchen,193,1624793031
2021-06-27T12:25:02Z,51,motion,1,FALSE,Kitchen,193,1624793102
2021-06-27T12:27:57Z,47,motion,1,FALSE,Bathroom,193,1624793277
2021-06-27T12:28:03Z,47,motion,1,FALSE,Bathroom,193,1624793283
2021-06-27T12:28:07Z,47,motion,1,FALSE,Bathroom,193,1624793287
2021-06-27T12:28:16Z,47,motion,1,FALSE,Bathroom,193,1624793296
2021-06-27T12:28:25Z,47,motion,1,FALSE,Bathroom,193,1624793305
2021-06-27T12:28:31Z,47,motion,1,FALSE,Bathroom,193,1624793311
2021-06-27T12:28:39Z,47,motion,1,FALSE,Bathroom,193,1624793319
2021-06-27T12:28:48Z,47,motion,1,FALSE,Bathroom,193,1624793328
2021-06-27T12:28:59Z,47,motion,1,FALSE,Bathroom,193,1624793339
2021-06-27T12:29:12Z,47,motion,1,FALSE,Bathroom,193,1624793352
2021-06-27T12:29:17Z,47,motion,1,FALSE,Bathroom,193,1624793357
2021-06-27T12:29:24Z,47,motion,1,FALSE,Bathroom,193,1624793364
2021-06-27T12:29:30Z,47,motion,1,FALSE,Bathroom,193,1624793370
2021-06-27T12:29:36Z,47,motion,1,FALSE,Bathroom,193,1624793376
2021-06-27T12:29:41Z,47,motion,1,FALSE,Bathroom,193,1624793381
2021-06-27T12:29:46Z,47,motion,1,FALSE,Bathroom,193,1624793386
2021-06-27T12:29:47Z,51,motion,2,FALSE,Kitchen,193,1624793387
2021-06-27T12:29:54Z,47,motion,1,FALSE,Bathroom,193,1624793394
2021-06-27T12:30:00Z,47,motion,1,FALSE,Bathroom,193,1624793400
2021-06-27T12:30:03Z,47,motion,1,FALSE,Bathroom,193,1624793403
2021-06-27T12:30:12Z,47,motion,1,FALSE,Bathroom,193,1624793412
2021-06-27T12:30:19Z,47,motion,1,FALSE,Bathroom,193,1624793419
2021-06-27T12:30:23Z,47,motion,1,FALSE,Bathroom,193,1624793423
2021-06-27T12:35:23Z,47,motion,2,FALSE,Bathroom,193,1624793723
2021-06-27T12:36:03Z,51,motion,1,FALSE,Kitchen,193,1624793763
2021-06-27T12:37:39Z,51,motion,1,FALSE,Kitchen,193,1624793859
2021-06-27T12:37:54Z,51,motion,1,FALSE,Kitchen,193,1624793874
2021-06-27T12:38:15Z,51,motion,1,FALSE,Kitchen,193,1624793895
2021-06-27T12:38:25Z,51,motion,1,FALSE,Kitchen,193,1624793905
2021-06-27T12:40:19Z,49,motion,1,FALSE,Living room,193,1624794019
2021-06-27T12:41:02Z,49,motion,1,FALSE,Living room,193,1624794062
2021-06-27T12:41:35Z,49,motion,1,FALSE,Living room,193,1624794095
